route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11323,491,180105,National Mall,,0,805,7685,1,1
11321,490,175800,Dupont Circle,,0,602,8548,1,1
11318,492,179155,Georgetown,,1,102,8550,1,1
11323,492,175825,National Mall,,0,806,7685,1,1
11323,490,176524,National Mall,,0,801,7685,1,1
11322,493,178119,Congress Heights,,1,706,8819,1,1
11323,537,186723,National Mall,,0,805,7685,1,1
11318,492,179634,Union Station,,0,105,8551,1,1
11318,534,186731,Georgetown,,1,113,8550,1,1
11322,534,186114,Union Station,,0,715,8818,1,1
11318,535,186762,Union Station,,0,104,8551,1,1
11322,535,182640,Congress Heights,,1,708,8819,1,1
11318,536,185209,Union Station,,0,109,8551,1,1
11321,490,177311,Rosslyn,,1,603,8549,1,1
11318,493,175934,Union Station,,0,109,8551,1,1
11320,491,179676,Eastern Market,,0,504,8823,1,1
11322,534,183986,Union Station,,0,715,8818,1,1
11322,492,179234,Congress Heights,,1,702,8819,1,1
11319,535,184265,Woodley Park,,1,201,8556,1,1
11318,535,184062,Union Station,,0,120,8551,1,1
11318,536,186670,Union Station,,0,102,8551,1,1
11318,535,184851,Georgetown,,1,101,8550,1,1
11320,535,185295,L'Enfant Plaza,,1,503,8822,1,1
11319,537,184092,Woodley Park,,1,202,8556,1,1
11322,536,183588,Union Station,,0,706,8818,1,1
11320,492,177641,L'Enfant Plaza,,1,503,8822,1,1
11318,536,185301,Union Station,,0,112,8551,1,1
11321,492,178470,Rosslyn,,1,605,8549,1,1
11318,536,184052,Union Station,,0,102,8551,1,1
11319,493,179798,McPherson Square Metro,,0,206,8557,1,1
11320,535,186603,L'Enfant Plaza,,1,502,8822,1,1
11322,537,185159,Union Station,,0,706,8818,1,1
11318,534,183085,Union Station,,0,109,8551,1,1
11322,492,176175,Congress Heights,,1,711,8819,1,1
11323,536,185988,National Mall,,0,806,7685,1,1
11321,490,179527,Dupont Circle,,0,604,8548,1,1
11320,534,183657,L'Enfant Plaza,,1,504,8822,1,1
11318,534,186893,Union Station,,0,103,8551,1,1
11322,490,177871,Union Station,,0,103,8818,1,1
11319,491,176657,McPherson Square Metro,,0,206,8557,1,1
11319,535,184067,Woodley Park,,1,207,8556,1,1
11319,490,178180,Woodley Park,,1,205,8556,1,1
11319,534,186562,McPherson Square Metro,,0,206,8557,1,1
11318,493,176074,Georgetown,,1,103,8550,1,1
11321,490,177937,Rosslyn,,1,606,8549,1,1
11320,537,183348,L'Enfant Plaza,,1,509,8822,1,1
11322,536,185499,Congress Heights,,1,708,8819,1,1
11320,534,184564,L'Enfant Plaza,,1,506,8822,1,1
11318,534,185144,Union Station,,0,117,8551,1,1
11322,491,179364,Union Station,,0,701,8818,1,1
11322,536,186110,Congress Heights,,1,706,8819,1,1
11319,492,177553,McPherson Square Metro,,0,207,8557,1,1
11320,537,186775,L'Enfant Plaza,,1,505,8822,1,1
11319,537,183307,McPherson Square Metro,,0,202,8557,1,1
11319,534,185805,Woodley Park,,1,208,8556,1,1
11321,537,186850,Rosslyn,,1,602,8549,1,1
11318,492,177229,Georgetown,,1,103,8550,1,1
11318,536,183283,Union Station,,0,108,8551,1,1
11318,492,178773,Union Station,,0,106,8551,1,1
11318,493,179945,Union Station,,0,104,8551,1,1
11319,536,183685,McPherson Square Metro,,0,206,8557,1,1
11319,534,183755,Woodley Park,,1,204,8556,1,1
11321,493,177261,Dupont Circle,,0,606,8548,1,1
11321,490,179465,Rosslyn,,1,606,8549,1,1
11323,534,182907,National Mall,,0,815,7685,1,1
11319,492,175747,Woodley Park,,1,208,8556,1,1
11322,492,176088,Congress Heights,,1,706,8819,1,1
11319,534,182886,McPherson Square Metro,,0,202,8557,1,1
11320,490,175651,Eastern Market,,0,508,8823,1,1
11321,492,176495,Dupont Circle,,0,608,8548,1,1
11321,534,186688,Rosslyn,,1,604,8549,1,1
11318,534,183263,Georgetown,,1,111,8550,1,1
11321,536,184499,Rosslyn,,1,605,8549,1,1
11319,492,179704,Woodley Park,,1,212,8556,1,1
11321,536,186263,Dupont Circle,,0,602,8548,1,1
11319,534,185312,McPherson Square Metro,,0,215,8557,1,1
11319,492,179928,Woodley Park,,1,203,8556,1,1
11323,493,178648,National Mall,,0,808,7685,1,1
11321,493,179298,Dupont Circle,,0,603,8548,1,1
11318,491,176873,Georgetown,,1,202,8550,1,1
11321,491,179478,Rosslyn,,1,605,8549,1,1
11319,490,178439,Woodley Park,,1,206,8556,1,1
11321,534,186418,Dupont Circle,,0,603,8548,1,1
11320,493,178841,Eastern Market,,0,506,8823,1,1
11320,493,178547,L'Enfant Plaza,,1,506,8822,1,1
11318,535,183044,Georgetown,,1,120,8550,1,1
11318,490,177549,Georgetown,,1,101,8550,1,1
11320,536,183786,Eastern Market,,0,501,8823,1,1
11318,493,179571,Georgetown,,1,201,8550,1,1
11322,491,176576,Union Station,,0,714,8818,1,1
11322,535,186722,Congress Heights,,1,701,8819,1,1
11320,491,177494,L'Enfant Plaza,,1,808,8822,1,1
11318,491,175693,Union Station,,0,102,8551,1,1
11321,534,184154,Dupont Circle,,0,604,8548,1,1
11321,492,177928,Dupont Circle,,0,606,8548,1,1
11319,535,186874,Woodley Park,,1,204,8556,1,1
11321,491,179767,Rosslyn,,1,604,8549,1,1
11322,491,176786,Congress Heights,,1,713,8819,1,1
11322,490,177896,Congress Heights,,1,714,8819,1,1
11323,534,184115,National Mall,,0,811,7685,1,1
11318,535,184331,Georgetown,,1,113,8550,1,1
11323,536,186352,National Mall,,0,801,7685,1,1
11321,490,177428,Rosslyn,,1,602,8549,1,1
11322,537,184289,Congress Heights,,1,709,8819,1,1
11319,491,177197,Woodley Park,,1,102,8556,1,1
11319,535,186858,Woodley Park,,1,206,8556,1,1
11320,535,185427,Eastern Market,,0,504,8823,1,1
11322,490,177508,Union Station,,0,202,8818,1,1
11318,535,186356,Union Station,,0,107,8551,1,1
11318,535,185874,Georgetown,,1,107,8550,1,1
11320,490,179668,Eastern Market,,0,503,8823,1,1
11319,491,178589,McPherson Square Metro,,0,102,8557,1,1
11319,534,186391,Woodley Park,,1,209,8556,1,1
11322,536,186022,Congress Heights,,1,702,8819,1,1
11323,537,184231,National Mall,,0,806,7685,1,1
11318,490,178577,Union Station,,0,705,8551,1,1
11321,534,185650,Dupont Circle,,0,604,8548,1,1
11320,537,184563,Eastern Market,,0,504,8823,1,1
11319,535,185743,Woodley Park,,1,206,8556,1,1
11321,491,178653,Dupont Circle,,0,603,8548,1,1
11322,536,182766,Congress Heights,,1,706,8819,1,1
11318,534,186657,Georgetown,,1,109,8550,1,1
11321,492,180099,Rosslyn,,1,605,8549,1,1
